"","supplier","SICCode.SicText_1"
"133317","NASH & CO SOLICITORS LLP","None Supplied"
"133319","VIRGIN CARE VERTIS LLP","None Supplied"
"133368","VIRGIN CARE HAMPSHIRE HEALTH LLP","None Supplied"
"133373","ASSURA PENINSULA HEALTH LLP","None Supplied"
"133387","PENINSULA HEALTH LLP","None Supplied"
"133499","WORKMAN LLP","None Supplied"
"133518","WILSONS SOLICITORS LLP","None Supplied"
"133523","RIX & KAY SOLICITORS LLP","None Supplied"
"133524","VIRGIN CARE BLACKPOOL LLP","None Supplied"
"133539","BIRKETT LONG LLP","None Supplied"
"133540","EAD SOLICITORS LLP","None Supplied"
"133543","MOORE BLATCH LLP","None Supplied"
"133544","PRIMARY CARE OLDHAM LLP","None Supplied"
"133547","DGB SOLICITORS LLP","None Supplied"
"133548","ICOF LLP","None Supplied"
"133553","VIRGIN CARE LEEDS LLP","None Supplied"
"133584","MERIDIAN CENTRE","None Supplied"
"133585","VIRGIN CARE COVENTRY LLP","None Supplied"
"133665","CAPSTICKS SOLICITORS LLP","None Supplied"
"133669","CAPSTICKS SOLICITORS","None Supplied"
"133686","BLANCHARDS BAILEY LLP","None Supplied"
"133687","OFFICESCAPE BUSINESS INTERIORS LLP","None Supplied"
"133688","NEW CARE PROJECTS LLP","None Supplied"
"133697","MORRISH SOLICITORS","None Supplied"
"133702","MEDICARE MEDICAL SERVICES LLP","None Supplied"
"133710","MEDICAREAA MEDICALAA SERVICESAA LLP","None Supplied"
"133711","MEDICARE MEDICAL SERVICES  LLP","None Supplied"
"133728","IRWIN MITCHELL LLP","None Supplied"
"133732","EXECUTIVE DEVELOPMENT CONSULTANTS UK LLP","None Supplied"
"133737","CROWN CARE (II) LLP","None Supplied"
"133757","BERKELEY PARTNERSHIP LLP (THE)","None Supplied"
"133760","BERKELEY PARTNERSHIP","None Supplied"
"133777","BERKELEYAA PARTNERSHIPAA LLPAA (THE)","None Supplied"
"133791","PINNACLE HEALTH PARTNERSHIP LLP","None Supplied"
"133800","ASTBURY MERE CARE HOME","None Supplied"
"133801","WULSTAN CAPITAL UK OPPORTUNITIES LLP AND WULSTAN INVESTORS LTD","None Supplied"
"133807","WRAGGE & CO LLP","None Supplied"
"133815","BAR-NONE HEALTHCARE","None Supplied"
"133817","CROWN CARE (I) LLP","None Supplied"
"133828","MORGAN COLE SOLICITORS","None Supplied"
"133829","MORGAN LAW PARTNERS LLP","None Supplied"
"133832","DORIS RESOURCES LLP","None Supplied"
"133839","GILBERT STEPHENS LLP","None Supplied"
"133840","HUGH JAMES INVOLEGAL LLP","None Supplied"
"133966","IRG ADVISORS LLP","None Supplied"
"133974","STRATEGIC HEALTHCARE PLANNING LLP","None Supplied"
"133975","MEADOW HOUSE","None Supplied"
"133976","BOSTON CONSULTING GROUP","None Supplied"
"133979","BOSTON CONSULTING GROUP UK LLP","None Supplied"
"134012","RED KITE LAW LLP","None Supplied"
"134013","ARK SPECIALIST HEALTHCARE","None Supplied"
"134016","MANTGANI HILL & POTTS LLP","None Supplied"
"134024","ARCADIS LLP","None Supplied"
"134029","NWLHT FACILITIES LLP","None Supplied"
"134060","NWLHT ANALYTICAL LLP","None Supplied"
"134099","LIBERA PARTNERS LLP","None Supplied"
"134101","BG SOLICITORS LLP","None Supplied"
"134103","FTI CONSULTING LLP","None Supplied"
"134108","MILLIMAN LLP","None Supplied"
"134120","AVH LEGAL","None Supplied"
"134123","AVH LEGAL LLP","None Supplied"
"134135","COOPER TARRY PARTNERS LLP","None Supplied"
"134136","GGI DEVELOPMENT & RESEARCH LLP","None Supplied"
"134141","YORKSHIRE CARE EQUIPMENT","None Supplied"
"134142","ELDER HOMES LEEDS LLP","None Supplied"
"134143","SPIRE SOLICITORS LLP CLIENT ACCOUNT","None Supplied"
"134144","IMMEDICARE LLP","None Supplied"
"134222","DEVANEY MEDICAL CENTRE","None Supplied"
"134224","STHREE PARTNERSHIP LLP","None Supplied"
"134227","NURTURE LLP","None Supplied"
"134240","RSM RISK ASSURANCE SERVICES LLP","None Supplied"
"134250","CHRISTIE PATHOLOGY PARTNERSHIP LLP(THE)","None Supplied"
"134251","BLAKE MORGAN LLP","None Supplied"
"134255","STRATFIELD CARE LLP","None Supplied"
"134256","CHRISTCHURCH FAIRMILE VILLAGE LLP","None Supplied"
"134261","RSM UK CONSULTING LLP","None Supplied"
"134266","BOURNEMOUTH CARE LLP","None Supplied"
"134270","WILTSHIRE HEALTH & CARE LLP","None Supplied"
"134399","PARTNERSHEALTH LLP","None Supplied"
"134407","INIQUITAS CARE","None Supplied"
"134411","SLEE BLACKWELL SOLICITORS LLP","None Supplied"
"134412","SURREY HEALTHY CHILDREN & FAMILIES LLP","None Supplied"
"134479","SURREY HEALTHY CHILDREN & FAMILIES LLP TOTAL SURREY REST HOMES LTD","None Supplied"
"134504","NORTH EAST ESSEX GP NETWORK LLP","None Supplied"
"134510","SHIRLEY MEDICAL EXTENDED ACCESS LLP","None Supplied"
"134511","TANDEM PROPERTY ASSET MANAGEMENT LLP","None Supplied"
"134513","HEALTHY LIVES TOGETHER LLP","None Supplied"
"134514","BRITISH HOME & HOSPITAL","None Supplied"
"134525","IMPERIAL COLLEGE OF SCIENCE TECH & MEDIC","None Supplied"
"134526","KING'S COLLEGE LONDON","None Supplied"
"134527","KINGS COLLEGE LONDON","None Supplied"
"134529","MERTON COLLEGE OXFORD","None Supplied"
"134532","ROYAL HOSPITAL FOR NEURO DISABILITY","None Supplied"
"134555","FOUNDATION TRUST ROYAL NATIONAL ORTHOPAEDIC","None Supplied"
"134556","ROYAL NATIONAL ORTHOPAEDIC","None Supplied"
"134558","TRUST (THE) ROYAL NATIONAL ORTHOPAEDIC","None Supplied"
"134559","ROYALAA NATIONALAA ORTHOPAEDICAA HOSPITALAA NHSAA TRUST","None Supplied"
"134566","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL","None Supplied"
"134569","TRUST ROYAL NATIONAL ORTHOPAEDIC HOSPITAL","None Supplied"
"134570","NHS TRUST ROYAL NATIONAL ORTHOPAEDIC HOSPITAL","None Supplied"
"134574","SSAFA","None Supplied"
"134580","UNIVERSITY COLLEGE LONDON","None Supplied"
"134591","PRACTICE UNIVERSITY COLLEGE LONDON","None Supplied"
"134594","UNIVERSITY OF BIRMINGHAM","None Supplied"
"134611","UNIVERSITY OF BRISTOL","None Supplied"
"134693","UNIVERSITY OF EAST ANGLIA","None Supplied"
"134735","UNIVERSITY OF EXETER","None Supplied"
"134748","UNIVERSITY OF HULL","None Supplied"
"134755","KEELE UNIVERSITY","None Supplied"
"134817","UNIVERSITY OF KENT","None Supplied"
"134818","UNIVERSITY OF LEEDS","None Supplied"
"134873","UNIVERSITY OF LEICESTER","None Supplied"
"134878","UNIVERSITY OF LIVERPOOL","None Supplied"
"134911","UNIVERSITY OF SHEFFIELD","None Supplied"
"134922","UNIVERSITY OF SOUTHAMPTON","None Supplied"
"134926","UNIVERSITY OF WARWICK","None Supplied"
"134931","UNIVERSITY OF YORK","None Supplied"
"134943","QUEEN MARY UNIVERSITY OF LONDON","None Supplied"
"134947","ROYAL STAR & GARTER HOMES","None Supplied"
"134959","ROYAL COLLEGE OF PAEDIATRICS & CHILD HEALTH","None Supplied"
"134964","PRINCE`S TRUST (THE)","None Supplied"
"134965","UNIVERSITY OF MANCHESTER (THE)","None Supplied"
"134968","KINGS FUND","None Supplied"
"134971","KINGS FUND (THE)","None Supplied"
"134983","CURO PLACES LTD","None Supplied"
"134984","NOTTINGHAM COMMUNITY HOUSING ASSOCIATION","None Supplied"
"135016","PRIMARY CARE WIRRAL","None Supplied"
"135040","THIRTEEN HOUSING GROUP","None Supplied"
"135041","FORTIS LIVING LTD","None Supplied"
"135042","QUEEN MARGARET UNIVERSITY","85421 - First-degree level higher education"
"135043","AGGREKO UK LTD","77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c."
"135044","SODEXO HEALTHCARE SERVICES LTD","74990 - Non-trading company"
"135079","MTI TECHNOLOGY LTD","63110 - Data processing, hosting and related activities"
"135081","ADVANCED PERSONNEL LTD","70229 - Management consultancy activities other than financial management"
"135083","FRONTLINE CONSULTANTS LTD","70229 - Management consultancy activities other than financial management"
"135085","JOHNSON & JOHNSON MEDICAL LTD","32500 - Manufacture of medical and dental instruments and supplies"
"135086","KARL STORZ ENDOSCOPY UK LTD","32500 - Manufacture of medical and dental instruments and supplies"
"135088","MAGGIES KESWICK JENCKS CANCER CARING CENTRES TRUST","86900 - Other human health activities"
"135089","ST VINCENTS HEALTH & PUBLIC SECTOR CONSULTING LTD","78109 - Other activities of employment placement agencies"
"135114","IDEAGEN GAEL LTD","62090 - Other information technology service activities"
"135117","ROWAN TREE UK LTD","74909 - Other professional, scientific and technical activities n.e.c."
"135118","EXTRAMED LTD","62020 - Information technology consultancy activities"
"135123","TRIPLE P UK LTD","85590 - Other education n.e.c."
"135124","SAMS RESEARCH SERVICES LTD","71200 - Technical testing and analysis"
"135126","HOMETRUST CARE LTD","87300 - Residential care activities for the elderly and disabled"
"135127","R & B SOLUTIONS LTD","86101 - Hospital activities"
"135128","ACUTUS PROGRAMME MANAGEMENT LTD","69109 - Activities of patent and copyright agents; other legal activities n.e.c."
"135139","INVENT HEALTH LTD","86900 - Other human health activities"
"135180","TRADEBE HEALTHCARE SOUTH WEST LTD","82990 - Other business support service activities n.e.c."
"135193","SOCIAL MARKETING GATEWAY (THE)","73200 - Market research and public opinion polling"
"135194","SITEKIT HEALTH LTD","62090 - Other information technology service activities"
"135195","NICHE OFFICE SOLUTIONS LTD","47910 - Retail sale via mail order houses or via Internet"
"135196","BRAID STRATEGIC SOLUTIONS LTD","70229 - Management consultancy activities other than financial management"
"135197","SITEKIT SOLUTIONS LTD","62090 - Other information technology service activities"
"135202","BIRT LTD","96090 - Other service activities n.e.c."
"135223","SOUTHSIDE CARE GROUP","78200 - Temporary employment agency activities"
"135225","DAYBREAK MEDICAL LTD","86210 - General medical practice activities"
"135226","BRIGHTPURPOSE LTD","82990 - Other business support service activities n.e.c."
"135227","CASTLE WATER LIMITED","36000 - Water collection, treatment and supply"
"135229","MYWAY DIGITAL HEALTH LTD","86900 - Other human health activities"
"135230","GLEN CARE LTD","86102 - Medical nursing home activities"
"135235","BAJAJ & PARTNER","47240 - Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
"135256","RIVERSIDE PARTNERSHIP","None Supplied"
"135301","ROBERTSON & PARTNERS","None Supplied"
"135307","WILTSHIRE COUNTY COUNCIL",NA
"135308","NORTH YORKSHIRE COUNTY COUNCIL",NA
"135309","NHS DORSET CCG",NA
"135310","LEEDS TEACHING HOSPITALS NHS TRUST",NA
"135311","HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST",NA
"135312","YORKSHIRE AMBULANCE SERVICE NHS TRUST",NA
"135314","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",NA
"135316","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",NA
"135317","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",NA
"135323","HUMBER NHS FOUNDATION TRUST",NA
"135324","TEES VALLEY TREATMENT CENTRE",NA
"135325","TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST",NA
"135326","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",NA
"135328","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",NA
"135331","DANBY SURGERY",NA
"135332","DR CASEY & PARTNERS",NA
"135334","DR PARKER & PARTNERS THIRSK",NA
"135335","DR P K A WEST & PARTNERS",NA
"135337","DRS HODGSON & KEAVNEY",NA
"135339","DRS N S P ENEVOLDSON & J H MOUNTJOY",NA
"135341","EGTON SURGERY",NA
"135342","FRIARY SURGERY",NA
"135343","LAMBERT MEDICAL CENTRE",NA
"135345","LEYBURN MEDICAL PRACTICE",NA
"135347","MAYFORD HOUSE SURGERY",NA
"135349","MOWBRAY HOUSE SURGERY",NA
"135351","REETH MEDICAL CENTRE",NA
"135352","QUAKERS LANE SURGERY",NA
"135353","SLEIGHTS & SANDSEND MEDICAL PRACTICE",NA
"135355","WHITBY GROUP PRACTICE WHITBY",NA
"135357","NORTH TEES & HARTLEPOOL NHS FOUNDATION TRUST",NA
"135359","KENNET AND AVON MEDICAL PARTNERSHIP",NA
"135362","STAITHES SURGERY",NA
"135363","BOX SURGERY",NA
"135364","DR A S THORNTON & PARTNERS",NA
"135367","DR E C HALSEY & PARTNER",NA
"135372","THREE CHEQUERS MEDICAL PRACTICE",NA
"135384","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",NA
"135416","SRCL LTD",NA
"135419","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",NA
"135420","MEDICAL SERVICES LTD",NA
"135421","SALISBURY NHS FOUNDATION TRUST",NA
"135422","NEW HALL HOSPITAL",NA
"135425","NHS SCARBOROUGH AND RYEDALE CCG",NA
"135448","TROWBRIDGE HEALTH CENTRE",NA
"135452","DR TRZECIAK & PARTNERS",NA
"135512","AVON VALLEY PRACTICE",NA
"135514","NHS ENGLAND",NA
"135523","GIFFORDS PARTNERSHIP (THE)",NA
"135524","NHS HARROGATE AND RURAL DISTRICT CCG",NA
"135533","LANSDOWNE SURGERY (THE)",NA
"135537","ST JAMES SURGERY",NA
"135542","GREAT AYTON SURGERY",NA
"135548","TEES VALLEY HOSPITAL",NA
"135550","HAREWOOD MEDICAL PRACTICE",NA
"135551","CATTERICK VILLAGE SURGERY",NA
"135558","PATFORD HOUSE PARTNERSHIP",NA
"135561","STOKESLEY MEDICAL PRACTICE",NA
"135567","GLEBE HOUSE SURGERY",NA
"135569","UNI HOSPITAL SOUTHAMPTON NHS FT",NA
"135577","NHS VALE OF YORK CCG",NA
"135583","HUMBER TEACHING NHS FOUNDATION TRUST",NA
"135592","NHS YORKSHIRE AND HUMBER CS",NA
"135606","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",NA
"135608","NORTHAMPTON GENERAL HOSPITAL NHS TRUST",NA
"135614","DR CROFT & DR JOHNSON",NA
"135640","DR G J BARRON & PARTNERS",NA
"135641","PRIMECARE",NA
"135644","DR P HARRIS & PARTNER",NA
"135645","CLIFTON PARK TREATMENT CENTRE",NA
"135648","NORTH WILTSHIRE PBC CONSORTIUM",NA
"135649","EAST KENNET PBC CONSORTIUM",NA
"135661","DR L W DE SILVA",NA
"135695","SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"135699","STOCKWELL LODGE MEDICAL CENTRE",NA
"135700","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",NA
"135701","SYMONDS GREEN HEALTH CENTRE",NA
"135729","NHS NORTH YORKSHIRE AND HUMBER CSU",NA
"135761","NHS GREATER HUDDERSFIELD CCG",NA
"135764","SPA MEDICAL CENTRE",NA
"135777","SIXPENNY HANDLEY PRACTICE",NA
"135855","GARDEN CITY SURGERY",NA
"135882","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST",NA
"135884","NHS CENTRAL SOUTHERN CSU",NA
"135892","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",NA
"135925","RAMSAY HEALTH CARE UK",NA
"135929","DR N A GOUGH & PARTNERS",NA
"135930","DR N J HARDING & PARTNERS",NA
"135981","HMRC",NA
"135985","DR C R GOTHAM & PARTNERS",NA
"135987","DR D A BEALE & PARTNERS",NA
"135992","DR P C DAVIES & PARTNERS",NA
"136043","ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST",NA
"136045","OXFORD HEALTH NHS FOUNDATION TRUST",NA
"136046","ROYAL UNITED HOSPITAL BATH NHS TRUST",NA
"136066","DR A J HALL & PARTNER",NA
"136093","DR WM GRUMMITT & PTR",NA
"136094","DR TH BALLARD",NA
"136099","ATTAIN COMMISSIONING SERVICES LTD",NA
"136101","HAMPSHIRE COUNTY COUNCIL",NA
"136109","NORFOLK & NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"136111","OXFORD UNIVERSITY HOSPITALS NHS TRUST",NA
"136161","DR P C PETTIT & PARTNER",NA
"136197","LEEDS & YORK PARTNERSHIP NHS FOUNDATION TRUST",NA
"136228","HATHAWAY MEDICAL PARTNERSHIP",NA
"136255","WILTSHIRE COUNCIL",NA
"136271","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"136276","SALISBURY MEDICAL PRACTICE",NA
"136308","NORTHLANDS SURGERY",NA
"136323","ORCHARD PARTNERSHIP (THE)",NA
"136341","MARKET LAVINGTON SURGERY",NA
"136411","BRADFORD ON AVON & MELKSHAM HEALTH PARTNERSHIP (THE)",NA
"136413","AVENUE SURGERY(THE)",NA
"136414","WESTBURY GROUP PRACTICE",NA
"136469","EAST AND NORTH HERTFORDSHIRE NHS TRUST",NA
"136556","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",NA
"136557","WHITBY GROUP PRACTICE",NA
"136565","SARUM GROUP WILTSHIRE CCG",NA
"136585","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",NA
"136660","DR T J KING",NA
"136662","DR S POPLI & PARTNERS",NA
"136678","NHS NORTH OF ENGLAND CSU",NA
"136698","PAPWORTH HOSPITAL NHS FOUNDATION TRUST",NA
"136779","WILTSHIRE HEALTH & CARE - GWHNHS FT",NA
"136821","IMPERIAL COLLEGE HEALTHCARE NHS TRUST",NA
"136827","KNEBWORTH AND MARYMEAD PRACTICE",NA
"136828","BEVERSBROOK MEDICAL CENTRE",NA
"136829","SOUTHBROOM SURGERY",NA
"136831","CASTLE PRACTICE (THE)",NA
"136833","JUBILEE FIELD SURGERY",NA
"136941","OLD SCHOOL SURGERY (THE)",NA
"136954","BARCROFT MEDICAL PRACTICE",NA
"136958","HALL GROVE SURGERY",NA
"136971","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST",NA
"136992","MARIE STOPES INTERNATIONAL",NA
"137054","DR P M B TULLOCH & PARTNERS",NA
"137059","DR N R STANGER & PARTNERS",NA
"137082","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST",NA
"137089","ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",NA
"137169","MERE SURGERY",NA
"137205","BURBAGE SURGERY SPRAYS",NA
"137206","PURTON SURGERY",NA
"137272","WATTON PLACE CLINIC",NA
"137365","ST MELOR HOUSE SURGERY",NA
"137368","NEW COURT SURGERY",NA
"137380","TISBURY SURGERY",NA
"137438","NORTH BRISTOL NHS TRUST",NA
"137439","HERTFORDSHIRE COUNTY COUNCIL",NA
"137443","PORTSMOUTH HOSPITALS NHS TRUST",NA
"137476","DR ATS WRIGHT & PARTNERS",NA
"137477","DR A LASHFORD & PARTNERS",NA
"137482","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST",NA
"137501","RICHMONDSHIRE DISTRICT COUNCIL",NA
"137516","16967 99N",NA
"137561","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",NA
"137604","DR T M DAVIES & PARTNERS",NA
"137630","NHS COMMISSIONING BOARD",NA
"137632","NHS GREATER GLASGOW AND CLYDE",NA
"137668","DR R B SYMON & PARTNERS",NA
"137673","DR T E MARKEY & PARTNERS",NA
"137687","MALMESBURY MEDICAL PARTNERSHIP",NA
"137723","NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",NA
"137739","NEVELLS ROAD SURGERY",NA
"137801","WARDEN LODGE MEDICAL PRACTICE",NA
"137835","DR J R DALTON & PARTNER",NA
"137904","KING GEORGE SURGERY",NA
"138047","CRICKLADE SURGERY",NA
"138078","ONE-OFF SUPPLIER",NA
"138085","ROBERT JONES & AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST",NA
"138098","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",NA
"138123","SOUTHERN HEALTH NHS FOUNDATION TRUST",NA
"138134","SOLENT NHS TRUST",NA
"138161","SOUTHAMPTON CITY COUNCIL",NA
"138186","SOUTH CENTRAL AMBULANCE SERVICES NHS TRUST",NA
"138241","WHITWELL SURGERY",NA
"138248","BOURN HALL CLINIC",NA
"138252","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST",NA
"138270","NHS SLOUGH CCG",NA
"138334","H WELLS CONSULTING",NA
"138350","DR S J ROBINSON & PARTNERS",NA
"138351","DR SUNAK & PARTNERS",NA
"138352","GROVE MEDICAL PRACTICE",NA
"138353","HIGHFIELD HEALTH",NA
"138354","HILL LANE SURGERY",NA
"138457","NHS SOUTH CSU",NA
"138490","DORSET HEALTHCARE NHS FOUNDATION TRUST",NA
"138500","VIRGIN CARE LEA VALLEY LLP",NA
"138581","CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST",NA
"138596","LONG STRATTON MEDICAL PARTNERSHIP",NA
"138598","DR A M PRESS & PARTNERS",NA
"138788","HERTFORDSHIRE COMMUNITY NHS TRUST",NA
"139007","BROOK HOUSE SURGERY",NA
"139016","SOUTHAMPTON UNIVERSITY HEALTH SERVICE",NA
"139017","SHIRLEY AVENUE & CHEVIOT ROAD PRACTICE",NA
"139022","WOOLSTON LODGE SURGERY",NA
"139039","SHIPHAY MANOR & ABBEY ROAD SURGERY",NA
"139040","SOUTH STREET SURGERY",NA
"139051","STANMORE MEDICAL GROUP",NA
"139066","WALLACE HOUSE SURGERY",NA
"139100","BARTS HEALTH NHS TRUST",NA
"139104","LORDSHILL HEALTH CENTRE",NA
"139156","HAILEY VIEW SURGERY",NA
"139165","HC ONE OVAL LTD",NA
"139169","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",NA
"139236","POTTERELLS MEDICAL CENTRE",NA
"139238","PUCKERIDGE & STANDON SURGERY",NA
"139310","SCRIPTSWITCH LTD",NA
"139346","ADELAIDE GP SURGERY",NA
"139347","ALDERMOOR SURGERY",NA
"139350","BITTERNE PARK SURGERY",NA
"139361","HOMELESS HEALTHCARE TEAM",NA
"139367","PORTSWOOD SOLENT SURGERY",NA
"139372","STONEHAM LANE SURGERY",NA
"139476","SURREY & BORDERS PARTNERSHIP NHS FOUNDATION TRUST",NA
"139478","NHS EAST BERKSHIRE CCG",NA
"139483","ALEXANDER HOUSE SURGERY",NA
"139485","BRANKSOMEWOOD HEALTHCARE CENTRE",NA
"139486","BORDER PRACTICE",NA
"139487","NORTH CAMP SURGERY",NA
"139488","PRINCES GARDENS SURGERY",NA
"139489","RICHMOND SURGERY",NA
"139490","SOUTHWOOD PRACTICE",NA
"139492","FRIMLEY HEALTH NHS FOUNDATION TRUST",NA
"139493","NHS SURREY DOWNS CCG",NA
"139495","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",NA
"139499","WELTON FAMILY HEALTH CENTRE",NA
"139500","NHS WEST HAMPSHIRE CCG",NA
"139501","DR ASH & PARTNERS",NA
"139503","NHS NORTH WEST SURREY CCG",NA
"139505","ASHFORD & ST PETERS HOSPITALS NHSFT",NA
"139508","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",NA
"139511","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST",NA
"139512","SURREY COUNTY COUNCIL",NA
"139523","HOLLY TREE SURGERY",NA
"139528","CRONDALL NEW SURGERY",NA
"139529","FLEET MEDICAL CENTRE",NA
"139530","GIFFARD DRIVE SURGERY",NA
"139531","HARTLEY CORNER MEDICAL PARTNERSHIP",NA
"139532","JENNER HOUSE SURGERY",NA
"139533","MAYFIELD MEDICAL CENTRE FARNBOROUGH",NA
"139534","MILESTONE SURGERY",NA
"139535","SOUTHLEA GROUP PRACTICE",NA
"139537","WELLINGTON PRACTICE",NA
"139540","DOWNING STREET GROUP PRACTICE",NA
"139541","FARNHAM DENE MEDICAL PRACTICE",NA
"139542","FERNS MEDICAL PRACTICE",NA
"139543","ODONNELL H & PARTNERS",NA
"139544","WEST HERTFORDSHIRE HOSPITALS NHS TRUST",NA
"139562","DR JOLLY & PARTNERS",NA
"139602","ROYAL BERKSHIRE NHS FOUNDATION TRUST",NA
"139607","VOYAGER FAMILY HEALTH",NA
"139608","CAMBRIDGE PRACTICE (THE)",NA
"139620","FARNHAM INTERGRATED CARE SERVICES LTD",NA
"139622","PRINCESS ALEXANDRA HOSPITAL NHS TRUST",NA
"139623","NHS EAST SURREY CCG",NA
"139624","RAMSAY NEUROLOGICAL SERVICES",NA
"139626","NHS GUILDFORD AND WAVERLEY CCG",NA
"139630","ASHTEAD HOSPITAL",NA
"139638","BROOME PARK NURSING HOME TOTAL BUPA CARE HOMES",NA
"139641","CARE UK (URGENT CARE) LTD TOTAL CARE UK COMMUNITY PARTNERSHIPS LTD",NA
"139660","FOREST CARE HOLLY LODGE TOTAL FRESHWATER (UK REGIONS) LTD",NA
"139675","IMPERIAL COLLEGE HEALTHCARE NHS TRUST TOTAL INTEGRATED CARE PARTNERSHIP",NA
"139678","KINGSTON HOSPITAL NHS FOUNDATION TRUST TOTAL KISIMUL GROUP LTD",NA
"139679","KISIMUL GROUP LTD TOTAL LEITH HILL PRACTICE",NA
"139686","LIFE STYLE CARE PLC TOTAL MARIA MALLABAND CARE GROUP",NA
"139724","SURREY HEALTHY CHILDREN & FAMILIES LLP TOTAL SURREY INDEPENDENT LIVING COUNCIL",NA
"139732","ADAMS P & PARTNERS",NA
"139746","VICTORIA PRACTICE ALDERSHOT",NA
"139779","EPSOMEDICAL LTD TOTAL FOREST CARE HOLLY LODGE",NA
"139790","MONTEAGLE SURGERY",NA
"139798","KINGSTON HOSPITAL NHS FOUNDATION TRUST",NA
"139803","LEONARD CHESHIRE DISABILITY TOTAL LIAISE LODDON LTD",NA
"139808","LIGHTHOUSE HEALTHCARE TOTAL MARIA MALLABAND CARE GROUP",NA
"139812","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST",NA
"139814","NELLSAR LTD TOTAL NHS GUILDFORD AND WAVERLEY CCG",NA
"139815","NHS GUILDFORD AND WAVERLEY CCG TOTAL OAKHURST COURT LTD",NA
"139816","LINCOLNSHIRE COUNTY COUNCIL",NA
"139840","SURREY AND SUSSEX HEALTHCARE NHS TRUST",NA
"139851","BRIDGE COTTAGE SURGERY",NA
"139854","ACORN COURT",NA
"139855","ACORN COURT TOTAL ADIEMUS CARE LTD",NA
"139858","ASHFORD & ST PETERS HOSPITALS NHSFT TOTAL ASHTON LODGE LTD",NA
"139859","CHELLS WAY SURGERY",NA
"139860","ASHTON LODGE LTD TOTAL BARCHESTER HEALTHCARE LTD",NA
"139868","BRIGHTERKIND TOTAL BROCKWOOD MEDICAL PRACTICE",NA
"139890","CHURCH VIEW CARE HOME TOTAL CLAREMONT CARE SERVICES LTD",NA
"139899","DORKING HEALTHCARE LTD TOTAL DORKING MEDICAL PRACTICE",NA
"139901","DORKING MEDICAL PRACTICE TOTAL ELYSIUM HEALTHCARE LTD",NA
"139922","HC-ONE OVAL LTD TOTAL HOLY CROSS HOSPITAL",NA
"139930","KINGS LODGE",NA
"139959","REAL STAFFING GROUP LTD",NA
"139973","ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"139990","NHS NORTH HAMPSHIRE CCG",NA
"139991","SURREY AND SUSSEX HEALTHCARE NHS TRUST TOTAL SURREY COUNTY COUNCIL",NA
"140005","SURREY INDEPENDENT LIVING COUNCIL TOTAL SURREY MEDICAL NETWORK LTD",NA
"140020","ASHTEAD HOSPITAL TOTAL ASHTON LODGE LTD",NA
"140021","HERTFORDSHIRE EYE HOSPITAL (THE)",NA
"140024","CHAPEL LANE PHARMACY",NA
