"","CompanyNumber","SICCode.SicText_1"
"82587","06023243","85421 - First-degree level higher education"
"82593","06025335","86210 - General medical practice activities"
"82639","06029195","62020 - Information technology consultancy activities"
"82641","06032284","87100 - Residential nursing care facilities"
"82643","06033238","85421 - First-degree level higher education"
"82651","06042569",NA
"82654","06043039","70100 - Activities of head offices"
"82730","06049024","86230 - Dental practice activities"
"82732","06050564","49390 - Other passenger land transport"
"82740","06051085","63990 - Other information service activities n.e.c."
"82741","06052757","88100 - Social work activities without accommodation for the elderly and disabled"
"82743","06054272","86220 - Specialists medical practice activities"
"82774","06057797","82990 - Other business support service activities n.e.c."
"82793","06059636","86210 - General medical practice activities"
"82907","06069186","86210 - General medical practice activities"
"82935","06069791","61100 - Wired telecommunications activities"
"82937","06076346","86220 - Specialists medical practice activities"
"83175","06076998","73200 - Market research and public opinion polling"
"83176","06080313","86210 - General medical practice activities"
"83247","06086050","86210 - General medical practice activities"
"83270","06092012","86220 - Specialists medical practice activities"
"83309","06099679","82990 - Other business support service activities n.e.c."
"83333","06104908","87900 - Other residential care activities n.e.c."
"83334","06107341","47990 - Other retail sale not in stores, stalls or markets"
"83337","06122359","86210 - General medical practice activities"
"83340","06122687","86210 - General medical practice activities"
"83389","06128193","62090 - Other information technology service activities"
"83390","06131525","82990 - Other business support service activities n.e.c."
"83534","06131747","62090 - Other information technology service activities"
"83593","06133161","74990 - Non-trading company"
"83594","06134712","86102 - Medical nursing home activities"
"83615","06135985","86102 - Medical nursing home activities"
"83623","06137404","88990 - Other social work activities without accommodation n.e.c."
"83671","06144912","88100 - Social work activities without accommodation for the elderly and disabled"
"83672","06147791","99999 - Dormant Company"
"83748","06149488","87300 - Residential care activities for the elderly and disabled"
"83749","06151373","71122 - Engineering related scientific and technical consulting activities"
"83750","06159308","82990 - Other business support service activities n.e.c."
"83753","06169583","68201 - Renting and operating of Housing Association real estate"
"83755","06172842","87100 - Residential nursing care facilities"
"83761","06172859","87100 - Residential nursing care facilities"
"83766","06172862","87100 - Residential nursing care facilities"
"83767","06172870","87100 - Residential nursing care facilities"
"83800","06177993","87100 - Residential nursing care facilities"
"83820","06178269","63990 - Other information service activities n.e.c."
"83822","06181544","70229 - Management consultancy activities other than financial management"
"83823","06182736","82990 - Other business support service activities n.e.c."
"83825","06182896","78300 - Human resources provision and management of human resources functions"
"83828","06183049","86210 - General medical practice activities"
"83996","06183416","86900 - Other human health activities"
"84033","06187349","46499 - Wholesale of household goods (other than musical instruments) n.e.c."
"84035","06192097","86900 - Other human health activities"
"84036","06195102","62012 - Business and domestic software development"
"84042","06198729","88100 - Social work activities without accommodation for the elderly and disabled"
"84044","06203380","86210 - General medical practice activities"
"84054","06205255","68320 - Management of real estate on a fee or contract basis"
"84058","06205458","88990 - Other social work activities without accommodation n.e.c."
"84228","06211226","86101 - Hospital activities"
"84390","06211552","87300 - Residential care activities for the elderly and disabled"
"84399","06215712","86210 - General medical practice activities"
"84418","06216781","86900 - Other human health activities"
"84419","06218016","86900 - Other human health activities"
"84420","06221409","86210 - General medical practice activities"
"84476","06221899","87300 - Residential care activities for the elderly and disabled"
"84477","06222637","86101 - Hospital activities"
"84519","06223045",NA
"84523","06227177","62090 - Other information technology service activities"
"84527","06227377","86900 - Other human health activities"
"84545","06228885","61900 - Other telecommunications activities"
"84546","06228910","86210 - General medical practice activities"
"84670","06229398","94990 - Activities of other membership organizations n.e.c."
"84681","06232208","70229 - Management consultancy activities other than financial management"
"84684","06232449","74300 - Translation and interpretation activities"
"84690","06237231","46900 - Non-specialised wholesale trade"
"84696","06241210","86900 - Other human health activities"
"84706","06244880","85310 - General secondary education"
"84710","06251793","78109 - Other activities of employment placement agencies"
"84712","06253828","74909 - Other professional, scientific and technical activities n.e.c."
"84714","06258730","87100 - Residential nursing care facilities"
"84715","06258845","86900 - Other human health activities"
"84730","06259354","86101 - Hospital activities"
"84735","06259954","82990 - Other business support service activities n.e.c."
"84737","06261202","96090 - Other service activities n.e.c."
"84739","06262114","82990 - Other business support service activities n.e.c."
"84747","06262374","70229 - Management consultancy activities other than financial management"
"84748","06262721","62090 - Other information technology service activities"
"84817","06264535","86900 - Other human health activities"
"84867","06267792","87100 - Residential nursing care facilities"
"84869","06273905","86900 - Other human health activities"
"86091","06277591","86900 - Other human health activities"
"86092","06277768","26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control"
"86093","06280579","61900 - Other telecommunications activities"
"86094","06281744","86210 - General medical practice activities"
"86100","06286562","62020 - Information technology consultancy activities"
"86130","06286588","86210 - General medical practice activities"
"86146","06287676","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"86147","06291384","86900 - Other human health activities"
"86148","06293176","82990 - Other business support service activities n.e.c."
"86150","06296104","86101 - Hospital activities"
"86634","06297014","87900 - Other residential care activities n.e.c."
"86641","06297277","88990 - Other social work activities without accommodation n.e.c."
"86665","06299020","70229 - Management consultancy activities other than financial management"
"86675","06299968","70229 - Management consultancy activities other than financial management"
"86676","06300724","87100 - Residential nursing care facilities"
"86735","06300749","87100 - Residential nursing care facilities"
"86742","06302132","86210 - General medical practice activities"
"86745","06306082","86210 - General medical practice activities"
"86747","06313232","84110 - General public administration activities"
"86749","06321501","86900 - Other human health activities"
"86813","06321543","87300 - Residential care activities for the elderly and disabled"
"86816","06324543","55209 - Other holiday and other collective accommodation"
"86839","06326808","86900 - Other human health activities"
"86840","06329047","88990 - Other social work activities without accommodation n.e.c."
"86844","06329434","86220 - Specialists medical practice activities"
"86864","06330418","87900 - Other residential care activities n.e.c."
"86866","06333213","86210 - General medical practice activities"
"86872","06337638","64929 - Other credit granting n.e.c."
"86923","06340472","86900 - Other human health activities"
"86953","06346849","99999 - Dormant Company"
"86965","06348509","61900 - Other telecommunications activities"
"86966","06349731","82110 - Combined office administrative service activities"
"86981","06350927","86900 - Other human health activities"
"87002","06351213","86900 - Other human health activities"
"87008","06351389","87100 - Residential nursing care facilities"
"87010","06351398","87100 - Residential nursing care facilities"
"87011","06351821","62090 - Other information technology service activities"
"87092","06353733","86210 - General medical practice activities"
"87129","06359596","86210 - General medical practice activities"
"87138","06360806","62012 - Business and domestic software development"
"87139","06362325","87100 - Residential nursing care facilities"
"87141","06367517","87100 - Residential nursing care facilities"
"87240","06367867","85320 - Technical and vocational secondary education"
"87242","06368379","87300 - Residential care activities for the elderly and disabled"
"87261","06377349","68209 - Other letting and operating of own or leased real estate"
"87273","06377406","68209 - Other letting and operating of own or leased real estate"
"87279","06377457","86900 - Other human health activities"
"87280","06380181","62090 - Other information technology service activities"
"87281","06381355","86900 - Other human health activities"
"87329","06382509","68310 - Real estate agencies"
"87338","06382591","86900 - Other human health activities"
"87394","06382873","82990 - Other business support service activities n.e.c."
"87407","06384000","86102 - Medical nursing home activities"
"87414","06386295","82110 - Combined office administrative service activities"
"87415","06391832","69102 - Solicitors"
"87416","06392494","87300 - Residential care activities for the elderly and disabled"
"87540","06400870","86210 - General medical practice activities"
"87574","06402143","70221 - Financial management"
"87576","06403407","88100 - Social work activities without accommodation for the elderly and disabled"
"87579","06404664","88990 - Other social work activities without accommodation n.e.c."
"87584","06405704","70229 - Management consultancy activities other than financial management"
"87607","06412049","70229 - Management consultancy activities other than financial management"
"87608","06413262","86900 - Other human health activities"
"87612","06414112","93120 - Activities of sport clubs"
"87623","06416174","59120 - Motion picture, video and television programme post-production activities"
"87626","06418743","94990 - Activities of other membership organizations n.e.c."
"87628","06422056","88100 - Social work activities without accommodation for the elderly and disabled"
"87629","06424069","62020 - Information technology consultancy activities"
"87630","06425174","26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control"
"87631","06426660","64999 - Financial intermediation not elsewhere classified"
"87634","06427360","55900 - Other accommodation"
"87639","06427706","87100 - Residential nursing care facilities"
"87641","06432463","87100 - Residential nursing care facilities"
"87642","06434893","31090 - Manufacture of other furniture"
"87643","06440143","86210 - General medical practice activities"
"87646","06442564","86900 - Other human health activities"
"87691","06443693","87100 - Residential nursing care facilities"
"87757","06445689","86900 - Other human health activities"
"87766","06451791","87100 - Residential nursing care facilities"
"87768","06453096","58290 - Other software publishing"
"87770","06453468","70229 - Management consultancy activities other than financial management"
"87771","06454115","58190 - Other publishing activities"
"87823","06454378","86900 - Other human health activities"
"87825","06456136","87300 - Residential care activities for the elderly and disabled"
"87827","06459262","78200 - Temporary employment agency activities"
"87828","06460540","69201 - Accounting and auditing activities"
"87836","06460790","87900 - Other residential care activities n.e.c."
"87893","06464144","87100 - Residential nursing care facilities"
"87901","06470043","87300 - Residential care activities for the elderly and disabled"
"87905","06470511","86900 - Other human health activities"
"88133","06472422","74909 - Other professional, scientific and technical activities n.e.c."
"88137","06473794","87900 - Other residential care activities n.e.c."
"88139","06475379","20590 - Manufacture of other chemical products n.e.c."
"88146","06479162","69109 - Activities of patent and copyright agents; other legal activities n.e.c."
"88147","06485510","86900 - Other human health activities"
"88189","06486927","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"88192","06487402","87900 - Other residential care activities n.e.c."
"88194","06487978","86210 - General medical practice activities"
"88209","06489429","82990 - Other business support service activities n.e.c."
"88216","06491588","88100 - Social work activities without accommodation for the elderly and disabled"
"88217","06495501","86900 - Other human health activities"
"88237","06498825","43210 - Electrical installation"
"88238","06499955","87300 - Residential care activities for the elderly and disabled"
"88292","06500301","85590 - Other education n.e.c."
"88293","06502496","86210 - General medical practice activities"
"88314","06502878","86900 - Other human health activities"
"88327","06504010","86210 - General medical practice activities"
"88350","06504458","74990 - Non-trading company"
"88352","06507443","70210 - Public relations and communications activities"
"88354","06507837","86900 - Other human health activities"
"88355","06510296","70221 - Financial management"
"88393","06511690","87900 - Other residential care activities n.e.c."
"88396","06512229","86900 - Other human health activities"
"88397","06514308","86900 - Other human health activities"
"88398","06517382","62012 - Business and domestic software development"
"88399","06517384","86210 - General medical practice activities"
"88598","06519468","68209 - Other letting and operating of own or leased real estate"
"88602","06522489","68209 - Other letting and operating of own or leased real estate"
"88603","06524231","86900 - Other human health activities"
"88608","06525659","87900 - Other residential care activities n.e.c."
"88610","06526813","86102 - Medical nursing home activities"
"88611","06528178","87100 - Residential nursing care facilities"
"88619","06528491","86210 - General medical practice activities"
"88843","06531137","87100 - Residential nursing care facilities"
"88850","06533283","88990 - Other social work activities without accommodation n.e.c."
"88866","06533385","87300 - Residential care activities for the elderly and disabled"
"88875","06534773","73110 - Advertising agencies"
"88877","06536056","86900 - Other human health activities"
"88878","06537039","88990 - Other social work activities without accommodation n.e.c."
"88897","06539394","85590 - Other education n.e.c."
"88898","06539641","82990 - Other business support service activities n.e.c."
"88903","06539964","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"88925","06541762","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"88926","06545745","86210 - General medical practice activities"
"88983","06546136","86101 - Hospital activities"
"89058","06546500","86900 - Other human health activities"
"89060","06550187","70229 - Management consultancy activities other than financial management"
"89063","06551402","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"89068","06552607","86900 - Other human health activities"
"89075","06552895","86900 - Other human health activities"
"89086","06555745","86210 - General medical practice activities"
"89138","06557613","68320 - Management of real estate on a fee or contract basis"
"89144","06558306","86900 - Other human health activities"
"89171","06559082","86900 - Other human health activities"
"89172","06560148","86210 - General medical practice activities"
"89183","06560722","86210 - General medical practice activities"
"89243","06561336","88100 - Social work activities without accommodation for the elderly and disabled"
"89245","06563486","86210 - General medical practice activities"
"89418","06564349","86220 - Specialists medical practice activities"
"89480","06565056","87100 - Residential nursing care facilities"
"89482","06565069","87100 - Residential nursing care facilities"
"89503","06571164","86210 - General medical practice activities"
"89521","06574155","82990 - Other business support service activities n.e.c."
"89524","06574923","70229 - Management consultancy activities other than financial management"
"89529","06577534","88990 - Other social work activities without accommodation n.e.c."
"89530","06577701","43130 - Test drilling and boring"
"89532","06583647","86101 - Hospital activities"
"89569","06584530","86210 - General medical practice activities"
"89639","06584936","46510 - Wholesale of computers, computer peripheral equipment and software"
"89640","06585227","72200 - Research and experimental development on social sciences and humanities"
"89642","06594865","86210 - General medical practice activities"
"89747","06599419","99999 - Dormant Company"
"89751","06599429","88100 - Social work activities without accommodation for the elderly and disabled"
"89754","06599944","86900 - Other human health activities"
"89770","06600430","86210 - General medical practice activities"
"89803","06600567","86210 - General medical practice activities"
"89805","06601967","88100 - Social work activities without accommodation for the elderly and disabled"
"89869","06602281","70229 - Management consultancy activities other than financial management"
"89877","06603399","87300 - Residential care activities for the elderly and disabled"
"89884","06604124","86210 - General medical practice activities"
"89907","06606435","70100 - Activities of head offices"
"89908","06607168","70229 - Management consultancy activities other than financial management"
"90033","06607389","85520 - Cultural education"
"90037","06609295","86900 - Other human health activities"
"90038","06611251","82990 - Other business support service activities n.e.c."
"90039","06611709",NA
"90060","06613057","82990 - Other business support service activities n.e.c."
"90081","06616842","86210 - General medical practice activities"
"90082","06617581","99999 - Dormant Company"
"90083","06623781","86101 - Hospital activities"
"90231","06625215","86210 - General medical practice activities"
"90246","06627289","62020 - Information technology consultancy activities"
"90247","06633460","86210 - General medical practice activities"
"90257","06634284","86210 - General medical practice activities"
"90289","06635822","86210 - General medical practice activities"
"90361","06639468","87100 - Residential nursing care facilities"
"90369","06642246","82990 - Other business support service activities n.e.c."
"90374","06644293","86210 - General medical practice activities"
"91475","06644362","86210 - General medical practice activities"
"91500","06646364","87300 - Residential care activities for the elderly and disabled"
"91503","06648312","85590 - Other education n.e.c."
"91505","06654712","82990 - Other business support service activities n.e.c."
"91517","06654748","62090 - Other information technology service activities"
"91520","06655152","87300 - Residential care activities for the elderly and disabled"
"91525","06655187","87300 - Residential care activities for the elderly and disabled"
"91554","06656680","70229 - Management consultancy activities other than financial management"
"91555","06656979","70229 - Management consultancy activities other than financial management"
"91557","06660139","70100 - Activities of head offices"
"91559","06667738","62020 - Information technology consultancy activities"
"91563","06671425","86900 - Other human health activities"
"91566","06674059","88990 - Other social work activities without accommodation n.e.c."
"91567","06675269","86900 - Other human health activities"
"91569","06675933","86101 - Hospital activities"
"91570","06676854","86210 - General medical practice activities"
"91723","06679336","86900 - Other human health activities"
"91726","06680600","86900 - Other human health activities"
"91750","06680960","88990 - Other social work activities without accommodation n.e.c."
"91753","06681475","94990 - Activities of other membership organizations n.e.c."
"91754","06681604","41100 - Development of building projects"
"91778","06688321","82990 - Other business support service activities n.e.c."
"91796","06689445","78200 - Temporary employment agency activities"
"91797","06693993","51102 - Non-scheduled passenger air transport"
"91798","06695828","86900 - Other human health activities"
"91799","06696006","62090 - Other information technology service activities"
"91802","06696255","86900 - Other human health activities"
"91811","06701716","86900 - Other human health activities"
"91814","06703902","70229 - Management consultancy activities other than financial management"
"91815","06706015","86900 - Other human health activities"
"91817","06708923","82990 - Other business support service activities n.e.c."
"91822","06717022","86210 - General medical practice activities"
"91827","06719928","86900 - Other human health activities"
"91828","06721571","82990 - Other business support service activities n.e.c."
"91829","06722082","86900 - Other human health activities"
"91834","06722353","86900 - Other human health activities"
"91896","06723149","88990 - Other social work activities without accommodation n.e.c."
"91903","06723587","86900 - Other human health activities"
"91906","06723633","86102 - Medical nursing home activities"
"91938","06725716","59113 - Television programme production activities"
"91940","06727836","72200 - Research and experimental development on social sciences and humanities"
"91942","06730653","86230 - Dental practice activities"
"91992","06732480","68209 - Other letting and operating of own or leased real estate"
"91995","06733860","99999 - Dormant Company"
"91996","06738270","82990 - Other business support service activities n.e.c."
"91998","06738639","86900 - Other human health activities"
"92002","06740611","96090 - Other service activities n.e.c."
"92006","06745192","86210 - General medical practice activities"
"92030","06747285","70229 - Management consultancy activities other than financial management"
"92031","06749503","85590 - Other education n.e.c."
"92035","06753831","70229 - Management consultancy activities other than financial management"
"92036","06757387","62020 - Information technology consultancy activities"
"92039","06760783","88990 - Other social work activities without accommodation n.e.c."
"92047","06761385","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"92049","06762290","86900 - Other human health activities"
"92255","06763473","86900 - Other human health activities"
"92256","06765630","43220 - Plumbing, heat and air-conditioning installation"
"92257","06766604","87300 - Residential care activities for the elderly and disabled"
"92260","06769267","85200 - Primary education"
"92262","06770805","86900 - Other human health activities"
"92263","06773484","74300 - Translation and interpretation activities"
"92265","06777375","86900 - Other human health activities"
"92303","06777504","50100 - Sea and coastal passenger water transport"
"92305","06778054","87900 - Other residential care activities n.e.c."
"92308","06782334","87100 - Residential nursing care facilities"
"92314","06783496","96090 - Other service activities n.e.c."
"92318","06783750","88100 - Social work activities without accommodation for the elderly and disabled"
"92319","06788225","87300 - Residential care activities for the elderly and disabled"
"92320","06791240","86210 - General medical practice activities"
"92323","06792552","96090 - Other service activities n.e.c."
"92325","06793399","96040 - Physical well-being activities"
"92331","06795987","88990 - Other social work activities without accommodation n.e.c."
"92333","06797328","88990 - Other social work activities without accommodation n.e.c."
"92365","06802091","86210 - General medical practice activities"
"92387","06802242","74909 - Other professional, scientific and technical activities n.e.c."
"92388","06811096","86900 - Other human health activities"
"92389","06815987","86900 - Other human health activities"
"92477","06817800","86210 - General medical practice activities"
"92486","06819596","87100 - Residential nursing care facilities"
"92510","06820088",NA
"92524","06820903","96090 - Other service activities n.e.c."
"92528","06821137","86210 - General medical practice activities"
"92615","06824790","62020 - Information technology consultancy activities"
"92630","06827155","62012 - Business and domestic software development"
"92633","06831627","87300 - Residential care activities for the elderly and disabled"
"92637","06834614","86900 - Other human health activities"
"92702","06836117","72200 - Research and experimental development on social sciences and humanities"
"92722","06841938","86900 - Other human health activities"
"92724","06842869","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"92756","06846871","86900 - Other human health activities"
"92758","06848164","88100 - Social work activities without accommodation for the elderly and disabled"
"92759","06850231","70229 - Management consultancy activities other than financial management"
"92761","06851631","82990 - Other business support service activities n.e.c."
"92770","06853264","86210 - General medical practice activities"
"92815","06859589","93120 - Activities of sport clubs"
"92816","06861783","86210 - General medical practice activities"
"92827","06865625","74909 - Other professional, scientific and technical activities n.e.c."
"92840","06865896","82990 - Other business support service activities n.e.c."
"92841","06866062","86210 - General medical practice activities"
"92860","06868883","87300 - Residential care activities for the elderly and disabled"
"92862","06875147","78200 - Temporary employment agency activities"
"92872","06878038","86900 - Other human health activities"
"92875","06878225","85422 - Post-graduate level higher education"
"92881","06878651","86210 - General medical practice activities"
"92895","06883079","87300 - Residential care activities for the elderly and disabled"
"92897","06886081","87900 - Other residential care activities n.e.c."
"92899","06891337","88990 - Other social work activities without accommodation n.e.c."
"92902","06893564","87900 - Other residential care activities n.e.c."
"92990","06896144","82990 - Other business support service activities n.e.c."
"93125","06897373","70229 - Management consultancy activities other than financial management"
"93127","06900269","62090 - Other information technology service activities"
"93128","06902590","87100 - Residential nursing care facilities"
"93133","06903540","01470 - Raising of poultry"
"93135","06904210","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"93136","06906017","86900 - Other human health activities"
"93140","06906322","96090 - Other service activities n.e.c."
"93282","06910303","70229 - Management consultancy activities other than financial management"
"93283","06913844","87100 - Residential nursing care facilities"
"93285","06927650","86900 - Other human health activities"
"93408","06933341","62090 - Other information technology service activities"
"93410","06935700","71129 - Other engineering activities"
"93411","06937095","68209 - Other letting and operating of own or leased real estate"
"93413","06937233","87100 - Residential nursing care facilities"
"93418","06942967","85410 - Post-secondary non-tertiary education"
"93423","06944392","70229 - Management consultancy activities other than financial management"
"93438","06947862","62012 - Business and domestic software development"
"93445","06948484","74909 - Other professional, scientific and technical activities n.e.c."
"93448","06952223","96090 - Other service activities n.e.c."
"93449","06956527","94990 - Activities of other membership organizations n.e.c."
"93452","06958872","74909 - Other professional, scientific and technical activities n.e.c."
"93470","06961135","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"93472","06967283","88100 - Social work activities without accommodation for the elderly and disabled"
"93475","06971934","86900 - Other human health activities"
"93486","06972122","86900 - Other human health activities"
"93536","06974521","96040 - Physical well-being activities"
"93537","06974879","62012 - Business and domestic software development"
"93604","06974995","82990 - Other business support service activities n.e.c."
"93608","06975373","88100 - Social work activities without accommodation for the elderly and disabled"
"93609","06988557","62012 - Business and domestic software development"
"93614","06990425","86102 - Medical nursing home activities"
"93665","06994166","86900 - Other human health activities"
"93817","06995585","86101 - Hospital activities"
"93895","06998430","70210 - Public relations and communications activities"
"93896","06999908","86900 - Other human health activities"
"93898","07006223","74909 - Other professional, scientific and technical activities n.e.c."
"93987","07010264","82990 - Other business support service activities n.e.c."
"93992","07013330","87100 - Residential nursing care facilities"
"93996","07014707","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"93997","07019841","94990 - Activities of other membership organizations n.e.c."
"94001","07021392","85590 - Other education n.e.c."
"94002","07022358","73110 - Advertising agencies"
"94008","07025891","86900 - Other human health activities"
"94009","07029373","86900 - Other human health activities"
"94019","07030656","62012 - Business and domestic software development"
"94038","07034946","82990 - Other business support service activities n.e.c."
"94209","07053471","82990 - Other business support service activities n.e.c."
"94267","07063359","74909 - Other professional, scientific and technical activities n.e.c."
"94279","07065318","70100 - Activities of head offices"
"94291","07065842","82990 - Other business support service activities n.e.c."
"94292","07070731","86900 - Other human health activities"
"94330","07071928","87900 - Other residential care activities n.e.c."
"94335","07073342","86210 - General medical practice activities"
"94363","07074944","86210 - General medical practice activities"
"94523","07076848","86101 - Hospital activities"
"94524","07079818","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"94591","07080448","87900 - Other residential care activities n.e.c."
"94592","07082740","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"94593","07083679","87100 - Residential nursing care facilities"
"94594","07086155","86101 - Hospital activities"
"94641","07087850","86210 - General medical practice activities"
"94681","07090340","86220 - Specialists medical practice activities"
"94684","07093184","88990 - Other social work activities without accommodation n.e.c."
"94688","07101628","86210 - General medical practice activities"
"94689","07105160","64209 - Activities of other holding companies n.e.c."
"94696","07105367","62020 - Information technology consultancy activities"
"94715","07107520","86900 - Other human health activities"
"94720","07110279","86900 - Other human health activities"
"94771","07110396","87100 - Residential nursing care facilities"
"94775","07110418","86210 - General medical practice activities"
"94798","07111000","88990 - Other social work activities without accommodation n.e.c."
"94809","07114599","96090 - Other service activities n.e.c."
"94810","07117010","87300 - Residential care activities for the elderly and disabled"
"94812","07118904","86210 - General medical practice activities"
"94823","07119778","86900 - Other human health activities"
"94824","07124727","86900 - Other human health activities"
"94877","07128156","88990 - Other social work activities without accommodation n.e.c."
"94885","07129375","87100 - Residential nursing care facilities"
"94887","07132723","46460 - Wholesale of pharmaceutical goods"
"94895","07135974","58110 - Book publishing"
"94903","07138799","70229 - Management consultancy activities other than financial management"
"94905","07139601","82990 - Other business support service activities n.e.c."
"94943","07140775","99999 - Dormant Company"
"94948","07145348","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"94949","07147732","87100 - Residential nursing care facilities"
"94963","07148220","47741 - Retail sale of hearing aids"
"94973","07149774","86900 - Other human health activities"
"94975","07150904","86900 - Other human health activities"
"94980","07154672","87100 - Residential nursing care facilities"
"94983","07156238","86900 - Other human health activities"
"94987","07159875","46660 - Wholesale of other office machinery and equipment"
"94988","07164419","87100 - Residential nursing care facilities"
"94994","07166391","96040 - Physical well-being activities"
"94996","07169958","86900 - Other human health activities"
"95012","07173728","87300 - Residential care activities for the elderly and disabled"
"95023","07174346","86900 - Other human health activities"
"95029","07174703","87100 - Residential nursing care facilities"
"95111","07174751","87100 - Residential nursing care facilities"
"95174","07175227","87100 - Residential nursing care facilities"
"95181","07176551","82990 - Other business support service activities n.e.c."
"95195","07179328","46650 - Wholesale of office furniture"
"95197","07180464","86900 - Other human health activities"
"95232","07182183","86900 - Other human health activities"
"95234","07183132","82110 - Combined office administrative service activities"
"95248","07190526","74909 - Other professional, scientific and technical activities n.e.c."
"95254","07198635","87300 - Residential care activities for the elderly and disabled"
"95255","07199371","86210 - General medical practice activities"
"95257","07200267","88100 - Social work activities without accommodation for the elderly and disabled"
"95302","07205239","86101 - Hospital activities"
"95303","07206978","86210 - General medical practice activities"
"95310","07208847","86900 - Other human health activities"
"95320","07210515","82990 - Other business support service activities n.e.c."
"95321","07215848","87300 - Residential care activities for the elderly and disabled"
"95323","07216053","88100 - Social work activities without accommodation for the elderly and disabled"
"95326","07218627","69102 - Solicitors"
"95327","07219525","87100 - Residential nursing care facilities"
"95380","07220201","62012 - Business and domestic software development"
"95382","07220902","87100 - Residential nursing care facilities"
"95408","07227455","86210 - General medical practice activities"
"95518","07230653","86900 - Other human health activities"
"95676","07232206","96090 - Other service activities n.e.c."
"95694","07237152","86210 - General medical practice activities"
"95695","07237196","86220 - Specialists medical practice activities"
"95697","07247902","87300 - Residential care activities for the elderly and disabled"
"95725","07250087","74909 - Other professional, scientific and technical activities n.e.c."
"95732","07252017","62020 - Information technology consultancy activities"
"95741","07252080","86900 - Other human health activities"
"95999","07252866","85590 - Other education n.e.c."
"96012","07252998","86900 - Other human health activities"
"96015","07255508","86900 - Other human health activities"
"96037","07257566","87100 - Residential nursing care facilities"
"96038","07257917","70229 - Management consultancy activities other than financial management"
"96045","07262735","86210 - General medical practice activities"
"96086","07263550","86900 - Other human health activities"
"96101","07268492","88100 - Social work activities without accommodation for the elderly and disabled"
"96206","07268618","86900 - Other human health activities"
"96259","07269495","99999 - Dormant Company"
"96261","07269869","86101 - Hospital activities"
"96433","07274801","86900 - Other human health activities"
"96435","07275637","86900 - Other human health activities"
"96515","07276039","87300 - Residential care activities for the elderly and disabled"
"96590","07277716","70229 - Management consultancy activities other than financial management"
"96591","07277785","70229 - Management consultancy activities other than financial management"
"96592","07287736","82990 - Other business support service activities n.e.c."
"96599","07294359","62090 - Other information technology service activities"
"96699","07295878","70100 - Activities of head offices"
"96700","07296068","86210 - General medical practice activities"
"96822","07296494","69201 - Accounting and auditing activities"
"96841","07299003","86900 - Other human health activities"
"96857","07299688","70229 - Management consultancy activities other than financial management"
"96858","07300133","86220 - Specialists medical practice activities"
"96875","07305177","86900 - Other human health activities"
"96879","07307740","85410 - Post-secondary non-tertiary education"
"96882","07308941","87100 - Residential nursing care facilities"
"96926","07311101","86900 - Other human health activities"
"97070","07315641","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"97071","07320006","86900 - Other human health activities"
"97516","07320922","86900 - Other human health activities"
"97700","07326823","86900 - Other human health activities"
"97726","07327556","74909 - Other professional, scientific and technical activities n.e.c."
"97727","07328839","46750 - Wholesale of chemical products"
"97728","07329022","87100 - Residential nursing care facilities"
"97729","07331113","86101 - Hospital activities"
"97735","07333624","62090 - Other information technology service activities"
"97736","07334681","88990 - Other social work activities without accommodation n.e.c."
"97748","07336195","87300 - Residential care activities for the elderly and disabled"
"97753","07338712","87100 - Residential nursing care facilities"
"97802","07344552","93199 - Other sports activities"
"97808","07345817","99999 - Dormant Company"
"97814","07347463","82990 - Other business support service activities n.e.c."
"97819","07350287","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"97820","07351100","82990 - Other business support service activities n.e.c."
"97828","07351563","86900 - Other human health activities"
"97831","07354282","86900 - Other human health activities"
"97833","07356214","96090 - Other service activities n.e.c."
"97835","07363539","01629 - Support activities for animal production (other than farm animal boarding and care) n.e.c."
"97836","07366749","70229 - Management consultancy activities other than financial management"
"97838","07367079","87300 - Residential care activities for the elderly and disabled"
"97844","07369706","86210 - General medical practice activities"
"97845","07370594","86900 - Other human health activities"
"97846","07370637","55900 - Other accommodation"
"97848","07372544","86900 - Other human health activities"
"97849","07372706","82990 - Other business support service activities n.e.c."
"97892","07376913","86101 - Hospital activities"
"98303","07378111","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"98304","07384125","86900 - Other human health activities"
"98305","07384528","85590 - Other education n.e.c."
"98307","07389603","82990 - Other business support service activities n.e.c."
"98309","07393181","86101 - Hospital activities"
